942 2788
630 489 610
836 274 228
446 416 791
109 935 981
272 672 743
607 111 574
416 729 622
132 379 354
232 800 908
228 642 759
60 303 149
212 659 51
138 530 895
357 134 771
583 763 292
501 537 749
287 281 315
740 81 785
119 558 206
760 922 323
594 565 994
105 79 4
535 174 89
173 245 512
821 542 260
793 271 717
367 447 598
42 866 490
725 246 541
440 400 779
741 442 759
421 177 407
674 102 711
887 730 485
796 434 823
774 220 854
3 201 906
456 324 369
432 264 104
914 471 745
583 481 197
306 879 821
848 438 652
608 659 494
637 259 603
529 831 819
423 158 444
567 509 643
155 800 857
107 271 35
137 466 932
26 822 64
644 599 580
560 665 925
409 904 894
374 782 214
141 479 787
929 195 867
759 135 376
328 183 419
152 428 856
45 189 715
627 203 424
152 48 402
645 779 623
327 334 588
4 374 898
509 275 417
767 551 89
159 891 192
300 893 860
724 25 512
33 285 294
903 228 466
319 892 455
633 905 719
358 933 174
14 558 511
678 795 185
877 495 968
457 282 598
80 710 551
284 923 286
738 180 738
481 495 213
221 236 624
110 486 177
766 381 289
800 479 792
360 897 346
100 346 332
915 115 876
68 941 749
754 637 421
288 312 6
674 263 806
235 672 829
465 737 512
279 12 760
702 188 226
932 692 792
435 443 487
619 774 986
339 628 354
668 573 619
785 656 696
309 146 483
268 360 671
563 249 661
915 140 988
171 210 477
401 505 461
773 596 669
884 191 946
43 3 217
820 60 208
911 155 440
241 533 231
728 744 166
130 486 564
173 686 694
489 585 958
707 266 47
320 499 662
625 194 473
300 390 296
293 482 860
603 406 33
114 200 457
738 104 803
906 872 146
216 184 412
709 42 958
190 775 275
601 127 5
562 11 439
928 707 962
575 343 5
484 158 105
300 150 231
632 476 711
686 260 950
464 535 495
84 313 851
467 427 687
849 207 462
165 253 907
281 519 462
728 688 398
220 15 211
927 173 607
540 839 945
369 70 408
833 803 789
319 922 295
16 942 457
145 242 193
638 37 331
506 561 660
241 109 268
478 266 608
422 102 558
557 610 653
821 343 994
938 785 125
182 568 31
82 104 400
765 870 41
200 379 82
69 767 904
250 192 177
808 567 781
589 650 164
887 481 26
444 9 714
690 121 354
464 216 854
177 796 913
357 325 511
264 62 881
394 447 329
711 428 68
48 655 442
69 341 271
512 827 429
94 127 396
861 39 59
309 220 251
200 877 452
765 726 823
923 155 709
